Publication Year;Title;Author;Venue;Included?;IC1;IC2;IC3;EC1;EC2;EC3;EC4;EC5;EC6;Source;Rationale;;
2018;Characteristic analysis of inter-city traffic flow at the occurrence of the Kumamoto Earthquake using mobile space statistics and web survey;"Yoshioka, Tomohiro; Kaneko, Yuichiro";Journal of Japan Society of Civil Engineers;No;FALSO;FALSO;;VERO;;;;;;OriginalStudy;Study is not in English + not about mobile web. ;;
2015;A Analysis on the Cases Applying UI/UX in the Mobile Web: Focusing on the University Homepage;"Lee, Myung-Suk; Lee, Kyung-Mi";Korea Information Processing Society (KIPS) Transactions on Computer and Communication Systems;No;;;;VERO;;;;;;OriginalStudy;Study is not in English;;
2019;Unsupervised neural based hybrid model for sentiment analysis of web/mobile application using public data sources;"Tagra, Ankur; Verma, Rajat; Narayanan, Sudarshan";Washington, DC: U.S. Patent and Trademark Office.;No;FALSO;FALSO;;;;;VERO;;;OriginalStudy;Is a patent + not about mobile web.;;
2015;From Migration to Collaboration:“Here and There”, an audiovisual Experiment Based on Social Media, Web and Mobile Technology;CARDONA, FELIPE;Not provided;No;FALSO;FALSO;;;;;VERO;;;OriginalStudy;Not about measurerement based experiments on the mobile web. Also not in proper form.;;
2014;Mobile Location-Based Web Experiments: A big data analytics method measuring the efficiency of Location-Based Advertising;Godefroid, Patrick;Ortsbezogene Anwendungen und Dienste.: 10. GI/ITG KuVS-Fachgespräch, 49.;No;VERO;FALSO;;;;;;;;OriginalStudy;Study is not about run time measurements of the mobile web.;;
2014;Milestones Residency Assessment Tracking (MRAT): A Cross-platform Mobile Web App for Bedside Evaluation of Residents Using Milestones;"Grall, KJ; Fiorello, A; Griffith, M; Meislin, H";;No;;;;;VERO;;;;;OriginalStudy;Full text is not available + not about measurement based experiments on mobile web.;;
2007;Analysis of innovative learning services in Web, interactive TV and mobile applications for non-formal settings;"Paneva, Radoslav Pavlov Desislava; Arapi, Nektarios Moumoutzis Polyxeni; Markus, Emanuela Ovcin Gaetano Morrone Zsolt";Not provided;No;FALSO;FALSO;;;;;;;;OriginalStudy;Is not about measurement based studies on the mobile web.;;
2014;Enhancements in UbiSmart platform: from data collection, reasoning and analysis to web user interface and mobile phone integration of a standalone application;Gil Sorribes, Adrià;Not provided/Universitat Politècnica de Catalunya;No;;;;;;;VERO;;;OriginalStudy;It is a MSc thesis.;;
2012;Virtual Healthcare Communities: The Use of Web-based and Mobile Intelligent Technologies for Risk Assessment and Health Management in Rural and Remote Communities;Persaud, Deryck R;Not provided;No;FALSO;FALSO;;;;;;;;OriginalStudy;Does not focus on measurement based experiments on the web.;;
2014;X. ANALYSIS OF USER INTERACTION POSSIBILITIES IN THE WEB AND MOBILE APPLICATIONS COMPANY GATES RADIO AND TELEVISION GALICIA EUSKAL IRRATI TELEBISTA;García-Torre, Manuel;Not provided/Book;No;FALSO;FALSO;;;;;;;;OriginalStudy;Does not focus on measurement based experiments on the web.;;
2014;Enabling Web-Based GIS Tools for Internet and Mobile Devices To Improve and Expand NASA Data Accessibility and Analysis Functionality for the Renewable Energy and Agricultural Applications;"Ross, Amanda; Stackhouse, Paul W; Tisdale, Brian; Tisdale, Matthew; Chandler, William; Hoell Jr, JM; Kusterer, John";American Geophysical Union, Fall Meeting (AGUFM);No;FALSO;FALSO;;;;;;;;OriginalStudy;Does not focus on measurement based experiments on the web.;;
2019;Method for measuring the circumference/width/length of a human body or object using a picture/photograph from a mobile camera or web camera feature.;Barker, Deborah Jane;U.S. Patent Application No. 15/676,893.;No;FALSO;FALSO;;;;;VERO;;;OriginalStudy;Is a patent + not about mobile web.;;
2017;Analysis of 5G Technology as Current Research in Mobile Wireless Technology that Concentrates on Advance Implementation of 4G Technology and 5G Technology as Re-defining Wireless Communication in Upcoming Years Results in Development of World Wide Wireless Web;"Kumar, Ravinder; Sharma, Bhubneshwar";Asian Journal of Applied Science and Technology (AJAST);No;FALSO;FALSO;;;;;;;;OriginalStudy;Does not focus on measurement based experiments on the web.;;
2015;Review of “Assessment of Resident Operative Performance Using a Real-Time Mobile Web System: Preparing for the Milestone Age” by Wagner JP, Chen DC, Donahue TR, Quach C, Joe Hines O, Hiatt JR, Tillou A in J Surg Educ 71: e41-e46, 2014;"Jalalabadi, Faryan; Hollier Jr, Larry H";Journal of Craniofacial Surgery;No;FALSO;FALSO;;;;;;;;OriginalStudy;Does not focus on runtime measurement based experiments on the web;;
2016;Family Medicine Forum Research Proceedings 2015Longitudinal evaluation of physician payment reform and team-based care for chronic disease management and preventionExploring the health care experiences of women in Vancouver’s transitional sheltersUsing automated, regularly extracted electronic medical record data for intervention researchDisability profiles in French-Canadians with affective symptomatology surveyed in primary care settingsThe BC Clinical Care Management initiative as a case study in large-scale changeSocioeconomic status and risk of hemorrhage during warfarin therapy for atrial fibrillationIntravenous opiate-assisted treatment (iOAT) Experience of primary care at a provincial detention centreTransition into residency of Canadians studying abroadContinuity of care and identity formationRelational continuity experiences of residents and preceptors in a family medicine residencyFacilitators, barriers, and strategies for clinical faculty conducting researchEffect of continuity of care in primary health care on hospitalization and emergency department usePotentially avoidable emergency department visits for family practice sensitive conditionsPolypharmacy and chronic disease surrogate markers in nursing home patientsWomen’s experience using marijuana to cope with the pain and other symptoms of menstrual periodsUse of cognitive task analysis to support change managementAssessing the needs of family physicians caring for cancer survivorsCase management in primary care for frequent usersEffectiveness of maintenance SSRI treatment in primary care depression to prevent recurrencePatient safety in family medicine residencyMental health screening in pregnancyUsing archived resident data to improve CaRMS selection through evidence-based interview questionsExamining past resident files to improve CaRMS selection through an evidence-based file review processTrends in resident rotation flags before and after implementation of the Competency-Based Achievement SystemDevelopmental outcomes of children born to methadone-maintained mothersClosing the gapUsing narrative to enhance team-based care in older adults who have fallenCancer diagnosis and treatment time intervalsComprehensive video-module instruction as an alternative for teaching intrauterine device insertionWe need something BETTERUsing mobile applications for knowledge dissemination in cataract surgery patientsEvaluation of chronic hepatitis B management and monitoring among Asian immigrantsWeb-based intervention for chronic back painPilot feasibility study of a primary care and addiction medicine collaborative care modelUse of antipsychotics in a real-world setting in Quebec between 1998 and 2006Ambulatory care sensitive avoidable hospitalizationsVariations among spirometry interpretation algorithmsEffects of community-based palliative care on health care use in patients with advanced heart failureCircadian rhythms and cardiovascular diseaseDevelopment and dissemination of the Preconception Health Care Tool in primary careEffects of breast reduction surgery on breastfeedingKeeping kids in the conversationExamining patterns in medication documentation of trade names and generic names in an academic family practice training centreEngaging inner-city populations and stakeholders in health services researchEndoscopic knowledge, skills, and practice patterns of Canadian family physician endoscopistsCan we meet the needs of Regina’s emergency department and hospitalist frequent users? Provider perceptions of knowledge exchange and communication within a multisite family health teamAccessibility and use of primary health care among immigrants in the Niagara RegionKnowledge translation for family physiciansScoping study of communication barriers between physicians and immigrant patientsGeographic distribution of scientific contributions in family medicinePOEMs reveal candidate clinical topics for the Choosing Wisely Canada campaignUne étude pilote d’implantation du site web Discutons Santé en milieux cliniques de première ligneDiscutons SantéDissemination and use of the Menopause-specific Quality of Life Questionnaire (MENQOL) Evaluation of a distributed health research methods course for family practice residentsPoint-of-care ultrasonography training “How is it for you?” Training on underserved populationsPanel management curriculum to teach emerging competencies for family medicine residentsWhat is the usability of a mobile application to prepare residents for their board examinations? Research and quality improvement in postgraduate family medicine residencyResident selection in CanadaAnxiety, depression, and frequent binge drinking among medical studentsPersonal health care practices in residency: Toronto, Ont;"Kiran, Tara; Paraskevopoulos, Elena Zoe; Dahrouge, Simone; Nguyen, Nina; Herbert, Carol; Cressman, Alex M; MacDonald, D Scott; Green, Samantha; Cavett, Teresa; Merbaum, Allyson";Canadian Family Physician;No;FALSO;FALSO;;;;;VERO;;;OriginalStudy;Does not focus on runtime measurement based experiments on the web;;
2018;Analysis of Croatian higher education institutions web pages for mobile friendliness;Buzov, Igor;Blaž Baromić International Conference on Printing, Design and Graphic Communications:;No;;;;VERO;;;;;;OriginalStudy;Full text is not available in English.;;
2015;Measuring Performance of Web Content Delivery Over Mobile Networks;Kezri, Diako;Not provided/University of Oslo;No;FALSO;VERO;;;;;VERO;;;OriginalStudy;Is a MSc thesis.;;
2006;MOBILE WEB SERVICES PERFORMANCE ANALYSIS ANÁLISIS DE RENDIMIENTO EN SERVICIOS WEB MÓVILES;"Zambrano, Eduardo Carrillo; Arévalo, Jesús E Ortega; Jaimes, Guillermo Sánchez";;No;;;;VERO;;;;;;OriginalStudy;Not in English;;
2017;Analisis faktor-faktor yang memengaruhi pengguna untuk beralih dari situs web mobile ke aplikasi mobile: studi kasus PT Cookpad Digital Indonesia= Analysis of factors that influence mobile website users to switch to mobile application a case study of of PT Cookpad Digital Indonesia;Prahara, Harwin;Not provided;No;;;;;VERO;;;;;OriginalStudy;Full text is not available. Also most likely not in English.;;
Not provided, presumably 2014 or later (based on references);Implementation and Assessment of a Novel Mobile Web Based Virtual Interactive System for Teaching Art Courses;Wang, Yue;;No;FALSO;FALSO;;;;;;;;OriginalStudy;Does not focus on runtime measurement based experiments on the web;;
2016;Study and Application Analysis of HTML5 Core Technology Based on Mobile Browser;Fu, Cuiyu;2nd International Conference on Electronics, Network and Computer Engineering (ICENCE 2016);No;VERO;FALSO;;;;;;;;OriginalStudy;Does not report a measurement based experiment.;;
2015;Introduction to Evidence-Based Mobile and Web Health Design and Analysis Minitrack;"Brigham, Janet; Schooley, Benjamin; Rosen, Rochelle; Bock, Beth";2015 48th Hawaii International Conference on System Sciences (HICSS), IEEE Computer Society;No;FALSO;FALSO;;;;;VERO;;;OriginalStudy;Text is an overview of presentations to be given.;;
2012;Measuring Impact of QoS on QoE in Mobile Web Services;Chowdhury, Md Kamal Hossain;Not provided/KTH Royal Institute of Technology Sweden;No;;;;;;;VERO;;;OriginalStudy;is a MSc thesis.;;
2014;Adapting web page tables on mobile web browsers: Results from two controlled empirical studies;Annadi, Ramakanth Reddy;North Dakota State University;No;;;;;;;VERO;;;OriginalStudy;Is a MSc thesis.;;
2017;THE REFORM OF PHYSICS EXPERIMENT INTRODUCTION COURSE IN UNIVERSITY UNDER THE CONDITION OF MOBILE WEB TEACHING PLATFORM;"Jingjin, Liu; Zonghui, Gao; Liyan, Cheng; Liefeng, Feng";;No;;;;;VERO;;;;;OriginalStudy;Full text is not available. Also most likely not in English.;;
2008;Web-based mobile service for measuring parameters and estimating eutrophication of the Lake Prespa;"Naumoski, Andreja; Trajkovik, Vladimir; Mitreski, Kosta";Not provided/ Ss. Cyril and Methodius University in Skopje;No;FALSO;FALSO;;;;;;;;OriginalStudy;Does not report a measurement based experiment on the mobile web.;;
